branded_food_category,revised_food_category
Alcohol,Alcohol
Alcoholic Beverages,Alcoholic Beverages
All Noodles,All Noodles
Baby/Infant  Foods/Beverages,Baby/Infant  Foods/Beverages
Baby/Infant – Foods/Beverages,Baby/Infant  Foods/Beverages
"Bacon, Sausages & Ribs","Bacon, Sausages & Ribs"
Baking,Baking/Cooking Mixes/Supplies
Baking Additives & Extracts,Baking/Cooking Mixes/Supplies
Baking Decorations & Dessert Toppings,Baking/Cooking Mixes/Supplies
Baking Needs,Baking/Cooking Mixes/Supplies
Baking/Cooking Mixes (Perishable),Baking/Cooking Mixes (Perishable)
Baking/Cooking Mixes (Shelf Stable),Baking/Cooking Mixes (Shelf Stable)
Baking/Cooking Mixes/Supplies,Baking/Cooking Mixes/Supplies
Baking/Cooking Supplies (Shelf Stable),Baking/Cooking Mixes (Shelf Stable)
Biscuits Chocolate,Cookies & Biscuits
Biscuits Cracker,Cookies & Biscuits
Biscuits Kids,Cookies & Biscuits
Biscuits Plain/Sweet,Cookies & Biscuits
Biscuits/Cookies,Cookies & Biscuits
Biscuits/Cookies (Shelf Stable),Cookies & Biscuits
Bread,Bread - Incl. Buns And Rolls
Bread - Incl. Buns And Rolls,Bread - Incl. Buns And Rolls
Bread (Frozen),Bread - Incl. Buns And Rolls
Bread & Muffin Mixes,Bread - Incl. Buns And Rolls
Bread/Bakery Products Variety Packs,Bread - Incl. Buns And Rolls
Breads & Buns,Bread - Incl. Buns And Rolls
Breakfast Cereals - Hot And Cold,Cereal
Breakfast Drinks,Breakfast Drinks
Breakfast Foods,Breakfast Foods
"Breakfast Sandwiches, Biscuits & Meals","Breakfast Sandwiches, Biscuits & Meals"
Butter & Spread,Butter & Spread
"Cake, Cookie & Cupcake Mixes",Baking/Cooking Mixes (Shelf Stable)
Cakes - Sweet (Frozen),"Cakes, Cupcakes, Snack Cakes"
"Cakes, Cupcakes, Snack Cakes","Cakes, Cupcakes, Snack Cakes"
Cakes/Slices/Biscuits,"Cakes, Cupcakes, Snack Cakes"
Candy,Candy
Canned & Bottled Beans,Canned & Bottled Beans
Canned Condensed Soup,Canned Condensed Soup
Canned Fruit,Canned Fruit
Canned Meat,Canned Meat
Canned Seafood,Canned Seafood
Canned Soup,Canned Soup
Canned Tuna,Canned Tuna
Canned Vegetables,Canned Vegetables
Cereal,Cereal
Cereal/Muesli Bars,Cereal/Muesli Bars
Cereals Products - Not Ready to Eat (Shelf Stable),Cereal
Cereals Products - Ready to Eat (Shelf Stable),Cereal
Cheese,Cheese
Cheese/Cheese Substitutes,Cheese
Chewing Gum & Mints,Chewing Gum & Mints
Chicken - Prepared/Processed,Chicken / Poultry
Childcare,Childcare
Chili & Stew,Chili & Stew
"Chips, Pretzels & Snacks","Chips, Pretzels & Snacks"
Chips/Crisps/Snack Mixes - Natural/Extruded (Sh...,"Chips, Pretzels & Snacks"
Chocolate,Chocolate
Chocolate and Chocolate/Sugar Candy Combination...,Chocolate
Coffee,Coffee
"Condiments, Oils & Dressing","Condiments, Oils & Dressing"
Confection & Snacks,Confectionery
Confectionery,Confectionery
Confectionery Products,Confectionery
Cooked & Prepared,Cooked & Prepared
Cookies & Biscuits,Cookies & Biscuits
Crackers & Biscotti,Crackers & Biscotti
Cream,Cream
Cream/Cream Substitutes,Cream
"Croissants, Sweet Rolls, Muffins & Other Pastries",Bread - Incl. Buns And Rolls
Crusts & Dough,Crusts & Dough
Dairy Foods/Yoghurts,Yogurt
Dairy/Egg Based Products / Meals,Dairy and Egg
Deli Salads,Salads
Desserts/Dessert Sauces/Toppings,Dessert
Dips & Salsa,Dips & Salsa
Dough Based Products / Meals,Crusts & Dough
Dough Based Products / Meals - Not Ready to Eat...,Crusts & Dough
Eggs,Dairy and Egg
"Energy, Protein & Muscle Recovery Drinks",Breakfast Drinks
"Entrees, Sides & Small Meals","Entrees, Sides & Small Meals"
Fish  Prepared/Processed,Fish and Seafood
Fish  Unprepared/Unprocessed,Fish and Seafood
Fish - Prepared/Processed,Fish and Seafood
Fish – Prepared/Processed,Fish and Seafood
Fish – Unprepared/Unprocessed,Fish and Seafood
Fish & Seafood,Fish and Seafood
Flavored Rice Dishes,Flavored Rice Dishes
Flavored Snack Crackers,Crackers & Biscotti
Flours & Corn Meal,Flours & Corn Meal
Food/Beverage/Tobacco Variety Packs,Food/Beverage/Tobacco Variety Packs
"French Fries, Potatoes & Onion Rings","French Fries, Potatoes & Onion Rings"
Frozen Appetizers & Hors D'oeuvres,Frozen Appetizers & Hors D'oeuvres
"Frozen Bacon, Sausages & Ribs","Frozen Bacon, Sausages & Ribs"
Frozen Bread & Dough,Crusts & Dough
"Frozen Breakfast Sandwiches, Biscuits & Meals","Frozen Breakfast Sandwiches, Biscuits & Meals"
Frozen Dinners & Entrees,Frozen Dinners & Entrees
Frozen Fish & Seafood,Frozen Fish & Seafood
Frozen Fruit,Frozen Fruit & Fruit Juice Concentrates
Frozen Fruit & Fruit Juice Concentrates,Frozen Fruit & Fruit Juice Concentrates
Frozen Meals,Frozen Meals
"Frozen Pancakes, Waffles, French Toast & Crepes","Frozen Pancakes, Waffles, French Toast & Crepes"
Frozen Patties and Burgers,Frozen Patties and Burgers
"Frozen Poultry, Chicken & Turkey",Chicken / Poultry
Frozen Prepared Sides,Frozen Prepared Sides
Frozen Vegetables,Frozen Vegetables
Fruit  Prepared/Processed,Fruit  Prepared/Processed
Fruit - Prepared/Processed,Fruit  Prepared/Processed
Fruit - Prepared/Processed (Shelf Stable),Fruit  Prepared/Processed
Fruit – Prepared/Processed,Fruit  Prepared/Processed
"Fruit & Vegetable Juice, Nectars & Fruit Drinks",Frozen Fruit & Fruit Juice Concentrates
Grains/Flour,Grains/Flour
"Granulated, Brown & Powdered Sugar","Granulated, Brown & Powdered Sugar"
Green Supplements,Green Supplements
Herbs & Spices,Herbs & Spices
Herbs And Spices,Herbs & Spices
Herbs/Spices/Extracts,Herbs & Spices
Home Decoration & Supplies,Home Decoration & Supplies
Honey,Honey
Ice Cream & Frozen Yogurt,Ice Cream & Frozen Yogurt
Ice Cream/Ice Novelties (Shelf Stable),Ice Cream & Frozen Yogurt
Iced & Bottle Tea,Breakfast Drinks
Includes any products that can be described/obs...,Includes any products that can be described/obs...
Includes any products that can be described/obs...,Includes any products that can be described/obs...
Includes any products that can be described/obs...,Includes any products that can be described/obs...
Includes products from animals of the domestic ...,Includes products from animals of the domestic ...
Includes products from animals of the domestic ...,Includes products from animals of the domestic ...
